week	copies_ml	population	region	actuals.hospitalBeds.weeklyCovidAdmissions	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	actuals.newDeaths	admits_rolling10	beds_rolling10	icu_rolling10	deaths_rolling5	hosp_date	deaths_date	admits_later	beds_later	icu_later	deaths_later
2021-04-14	178.1884244808006	3,000,000-10,000,000	Nationwide	39177	45985	9565	935	39058.454545454544	44916.36363636364	9385.454545454546	756.0	2021-04-28	2021-05-12	36043.27272727273	42365.454545454544	9472.636363636364	611.5
2021-04-21	147.99433317408227	3,000,000-10,000,000	Nationwide	39372	46119	9891	840	38967.818181818184	45016.09090909091	9659.90909090909	716.5	2021-05-05	2021-05-19	32668.454545454544	38828.818181818184	8932.454545454546	594.6666666666666
2021-04-28	120.97035563325085	3,000,000-10,000,000	Nationwide	35260	42887	9522	934	36043.27272727273	42365.454545454544	9472.636363636364	690.3333333333334	2021-05-12	2021-05-26	28739.272727272728	34669.0	8106.454545454545	728.6666666666666
2021-05-05	83.54091346759436	3,000,000-10,000,000	Nationwide	32376	39288	8937	776	32668.454545454544	38828.818181818184	8932.454545454546	683.0	2021-05-19	2021-06-02	24815.727272727272	30376.090909090908	7094.545454545455	356.0
2021-05-12	67.30245181984442	3,000,000-10,000,000	Nationwide	28118	34777	8108	848	28739.272727272728	34669.0	8106.454545454545	611.5	2021-05-26	2021-06-09	22018.727272727272	26792.090909090908	6189.818181818182	418.6666666666667
2021-05-19	57.185093621643965	3,000,000-10,000,000	Nationwide	24218	30620	7046	675	24815.727272727272	30376.090909090908	7094.545454545455	594.6666666666666	2021-06-02	2021-06-16	18692.81818181818	23498.909090909092	5347.272727272727	323.0
2021-05-26	38.76229600165137	3,000,000-10,000,000	Nationwide	21746	26904	6132	966	22018.727272727272	26792.090909090908	6189.818181818182	728.6666666666666	2021-06-09	2021-06-23	15938.636363636364	20499.272727272728	4566.818181818182	336.8333333333333
2021-06-02	39.79599815983239	3,000,000-10,000,000	Nationwide	17895	23703	5316	594	18692.81818181818	23498.909090909092	5347.272727272727	356.0	2021-06-16	2021-06-30	14365.454545454546	18241.363636363636	3966.3636363636365	245.33333333333334
2021-06-09	61.20452664200928	10,000,000-30,000,000	Nationwide	15666	20510	4470	572	15938.636363636364	20499.272727272728	4566.818181818182	418.6666666666667	2021-06-23	2021-07-07	13336.818181818182	17005.272727272728	3664.909090909091	248.33333333333334
2021-06-16	68.18280601130081	10,000,000-30,000,000	Nationwide	14206	18271	3876	424	14365.454545454546	18241.363636363636	3966.3636363636365	323.0	2021-06-30	2021-07-14	13706.0	17038.454545454544	3674.818181818182	303.8333333333333
2021-06-23	78.70612046178198	10,000,000-30,000,000	Nationwide	13100	17141	3691	398	13336.818181818182	17005.272727272728	3664.909090909091	336.8333333333333	2021-07-07	2021-07-21	15458.272727272728	18629.636363636364	4076.3636363636365	295.0
2021-06-30	83.40914755083513	10,000,000-30,000,000	Nationwide	13757	17165	3668	323	13706.0	17038.454545454544	3674.818181818182	245.33333333333334	2021-07-14	2021-07-28	19699.272727272728	22736.636363636364	5127.454545454545	395.8333333333333
2021-07-07	111.83954137248718	10,000,000-30,000,000	Nationwide	15480	19206	4123	322	15458.272727272728	18629.636363636364	4076.3636363636365	248.33333333333334	2021-07-21	2021-08-04	27245.545454545456	30463.272727272728	7068.545454545455	556.3333333333334
2021-07-14	161.459017360447	10,000,000-30,000,000	Nationwide	20315	23620	5249	393	19699.272727272728	22736.636363636364	5127.454545454545	303.8333333333333	2021-07-28	2021-08-11	39503.72727272727	43020.63636363636	9997.181818181818	724.3333333333334
2021-07-21	272.581203852575	10,000,000-30,000,000	Nationwide	28072	31849	7401	397	27245.545454545456	30463.272727272728	7068.545454545455	295.0	2021-08-04	2021-08-18	55058.545454545456	59371.181818181816	13917.09090909091	1096.6666666666667
2021-07-28	406.08365085203314	10,000,000-30,000,000	Nationwide	41298	45448	10369	495	39503.72727272727	43020.63636363636	9997.181818181818	395.8333333333333	2021-08-11	2021-08-25	70676.36363636363	76731.81818181818	18162.545454545456	1401.5
2021-08-04	483.2833231452973	10,000,000-30,000,000	Nationwide	57365	62184	14620	725	55058.545454545456	59371.181818181816	13917.09090909091	556.3333333333334	2021-08-18	2021-09-01	81461.0	90685.27272727272	21966.545454545456	1715.6666666666667
2021-08-11	525.2794075988621	10,000,000-30,000,000	Nationwide	73269	80375	19004	338	70676.36363636363	76731.81818181818	18162.545454545456	724.3333333333334	2021-08-25	2021-09-08	86206.63636363637	99417.63636363637	24569.727272727272	1828.1666666666667
2021-08-18	543.8716718702863	10,000,000-30,000,000	Nationwide	83000	93830	22666	1128	81461.0	90685.27272727272	21966.545454545456	1096.6666666666667	2021-09-01	2021-09-15	86397.72727272728	102045.27272727272	25672.636363636364	2209.5
2021-08-25	716.7767640109417	3,000,000-10,000,000	Nationwide	86867	101959	25032	1465	86206.63636363637	99417.63636363637	24569.727272727272	1401.5	2021-09-08	2021-09-22	83603.09090909091	100920.27272727272	25726.272727272728	2268.3333333333335
2021-09-01	849.5887711531042	3,000,000-10,000,000	Nationwide	86610	103492	25929	1935	86397.72727272728	102045.27272727272	25672.636363636364	1715.6666666666667	2021-09-15	2021-09-29	77886.18181818182	95673.0	24944.636363636364	2117.8333333333335
2021-09-08	739.8052637455563	3,000,000-10,000,000	Nationwide	82847	102400	25970	2202	83603.09090909091	100920.27272727272	25726.272727272728	1828.1666666666667	2021-09-22	2021-10-06	69039.90909090909	87125.27272727272	23172.18181818182	1956.0
2021-09-15	582.5552675716373	3,000,000-10,000,000	Nationwide	77402	95289	24848	2581	77886.18181818182	95673.0	24944.636363636364	2209.5	2021-09-29	2021-10-13	59580.36363636364	77361.72727272728	20633.909090909092	1770.6666666666667
2021-09-22	466.5893692793279	3,000,000-10,000,000	Nationwide	67813	86566	23097	2787	69039.90909090909	87125.27272727272	23172.18181818182	2268.3333333333335	2021-10-06	2021-10-20	52253.181818181816	68566.36363636363	18315.18181818182	1868.0
2021-09-29	469.9874425374185	3,000,000-10,000,000	Nationwide	58080	76561	20368	2515	59580.36363636364	77361.72727272728	20633.909090909092	2117.8333333333335	2021-10-13	2021-10-27	47523.818181818184	61765.27272727273	17337.272727272728	1519.0
2021-10-06	461.78820577631626	10,000,000-30,000,000	Nationwide	51150	68044	17873	2530	52253.181818181816	68566.36363636363	18315.18181818182	1956.0	2021-10-20	2021-11-03	42795.90909090909	55507.818181818184	16009.363636363636	1358.0
2021-10-13	385.4931960252004	3,000,000-10,000,000	Nationwide	46937	61554	17714	2239	47523.818181818184	61765.27272727273	17337.272727272728	1770.6666666666667	2021-10-27	2021-11-10	38596.36363636364	50695.27272727273	14177.90909090909	1248.0
2021-10-20	390.8353887580545	3,000,000-10,000,000	Nationwide	41993	54657	15945	3006	42795.90909090909	55507.818181818184	16009.363636363636	1868.0	2021-11-03	2021-11-17	36154.72727272727	47488.545454545456	11999.363636363636	1604.8333333333333
2021-10-27	477.6499060146696	3,000,000-10,000,000	Nationwide	37979	50626	14678	2015	38596.36363636364	50695.27272727273	14177.90909090909	1519.0	2021-11-10	2021-11-24	36458.27272727273	46691.63636363636	11291.0	898.5
2021-11-03	502.0895369531007	3,000,000-10,000,000	Nationwide	35754	47545	11738	1880	36154.72727272727	47488.545454545456	11999.363636363636	1358.0	2021-11-17	2021-12-01	39177.545454545456	48892.818181818184	11549.363636363636	1506.3333333333333
2021-11-10	562.3309501137891	3,000,000-10,000,000	Nationwide	36630	47342	11271	1636	36458.27272727273	46691.63636363636	11291.0	1248.0	2021-11-24	2021-12-08	42602.27272727273	52344.63636363636	12296.818181818182	1425.6666666666667
2021-11-17	698.2687282850598	3,000,000-10,000,000	Nationwide	39626	49760	11643	1618	39177.545454545456	48892.818181818184	11549.363636363636	1604.8333333333333	2021-12-01	2021-12-15	46448.454545454544	57291.36363636364	13377.0	1428.3333333333333
2021-11-24	964.7646045164316	3,000,000-10,000,000	Nationwide	43479	53343	12426	1636	42602.27272727273	52344.63636363636	12296.818181818182	898.5	2021-12-08	2021-12-22	52395.545454545456	63665.0	14609.818181818182	1673.6666666666667
2021-12-01	1203.389413713638	3,000,000-10,000,000	Nationwide	46474	58826	13643	1966	46448.454545454544	57291.36363636364	13377.0	1506.3333333333333	2021-12-15	2021-12-29	55154.27272727273	67989.18181818182	15660.181818181818	1504.0
2021-12-08	1202.6981801324691	3,000,000-10,000,000	Nationwide	53414	65653	14871	1879	52395.545454545456	63665.0	14609.818181818182	1425.6666666666667	2021-12-22	2022-01-05	57647.09090909091	70704.36363636363	16109.363636363636	1838.0
2021-12-15	1616.3893549682932	3,000,000-10,000,000	Nationwide	55177	69184	15854	2093	55154.27272727273	67989.18181818182	15660.181818181818	1428.3333333333333	2021-12-29	2022-01-12	76622.36363636363	87782.81818181818	17453.363636363636	2129.0
